20191029_construction_row_142,X000500,COMPLETED,North Melbourne,38-40 Howard Street NORTH MELBOURNE VIC 3051,4,0,-37.8043655,144.954187
20191029_construction_row_143,X000497,COMPLETED,North Melbourne,22-26 Howard Street NORTH MELBOURNE VIC 3051,4,0,-37.80471878,144.9543084
20191029_construction_row_144,X000571,COMPLETED,West Melbourne (Residential),86-90 Ireland Street WEST MELBOURNE VIC 3003,3,0,-37.80656059,144.9436122
20191029_construction_row_145,X000569,COMPLETED,West Melbourne (Residential),74-80 Ireland Street WEST MELBOURNE VIC 3003,3,0,-37.80667311,144.9438946
20191029_construction_row_146,X000572,COMPLETED,West Melbourne (Residential),26-32 Ireland Street WEST MELBOURNE VIC 3003,4,0,-37.8074106,144.945337
20191029_construction_row_147,X000243,COMPLETED,West Melbourne (Residential),55-63 Jeffcott Street WEST MELBOURNE VIC 3003,14,0,-37.8121999,144.9517978
20191029_construction_row_148,X000280,COMPLETED,West Melbourne (Residential),Cityside 50-64 Jeffcott Street WEST MELBOURNE VIC 3003,15,0,-37.81157691,144.951613
20191029_construction_row_149,X000944,COMPLETED,Melbourne (Remainder),Yarra Boathouses 1-7 Boathouse Drive MELBOURNE VIC 3004,3,0,-37.81990552,144.9705641
20191029_construction_row_150,X000359,COMPLETED,Carlton,101-111 Neill Street CARLTON VIC 3053,3,0,-37.79470004,144.9716134
20191029_construction_row_151,X000625,COMPLETED,West Melbourne (Industrial),133-165 Kensington Road WEST MELBOURNE VIC 3003,1,0,-37.79963865,144.9191747
20191029_construction_row_152,X000006,COMPLETED,Melbourne (CBD),27-31 King Street MELBOURNE VIC 3000,6,0,-37.81975556,144.9569486
20191029_construction_row_153,X000179,COMPLETED,Melbourne (CBD),Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,3,0,-37.81367556,144.9541999
20191029_construction_row_154,X000180,COMPLETED,Melbourne (CBD),Hotel Sophia 277-287 King Street MELBOURNE VIC 3000,4,0,-37.81367556,144.9541999
20191029_construction_row_155,X000241,COMPLETED,West Melbourne (Residential),369-379 King Street WEST MELBOURNE VIC 3003,6,0,-37.81166295,144.9532516
20191029_construction_row_156,X000183,COMPLETED,Melbourne (CBD),262-274 King Street MELBOURNE VIC 3000,18,0,-37.81372383,144.9549299
20191029_construction_row_157,X000250,COMPLETED,Melbourne (CBD),378-392 La Trobe Street MELBOURNE VIC 3000,22,0,-37.81091468,144.9580435
20191029_construction_row_158,X000254,COMPLETED,Melbourne (CBD),312-318 La Trobe Street MELBOURNE VIC 3000,24,0,-37.81028876,144.9600702
20191029_construction_row_159,X000272,COMPLETED,Melbourne (CBD),58-66 La Trobe Street MELBOURNE VIC 3000,4,0,-37.80829651,144.9669434
20191029_construction_row_160,X000398,COMPLETED,Carlton,97-113 Leicester Street CARLTON VIC 3053,8,0,-37.80336538,144.9601751
20191029_construction_row_161,X000392,COMPLETED,Carlton,130-138 Leicester Street CARLTON VIC 3053,4,0,-37.80298579,144.9609861
20191029_construction_row_162,X000389,COMPLETED,Carlton,108-128 Leicester Street CARLTON VIC 3053,14,5,-37.80334797,144.961044
20191029_construction_row_163,X000387,COMPLETED,Carlton,100-106 Leicester Street CARLTON VIC 3053,10,0,-37.80370838,144.9608578
20191029_construction_row_164,X000388,COMPLETED,Carlton,100-106 Leicester Street CARLTON VIC 3053,10,0,-37.80370838,144.9608578
20191029_construction_row_165,X000529,COMPLETED,North Melbourne,91-101 Leveson Street NORTH MELBOURNE VIC 3051,4,0,-37.80197679,144.9508063
20191029_construction_row_166,X000519,COMPLETED,North Melbourne,17-19 Arden Street NORTH MELBOURNE VIC 3051,2,0,-37.8013705,144.9517267
