20191029_bar_row_237,Crown Plaza,2006,1-5 Spencer Street,Docklands,60,-37.8226581,144.9549939
20191029_bar_row_239,Crown Promenade Hotel,2008,40-56 Queens Bridge Street,Southbank,150,-37.8238538,144.9597768
20191029_bar_row_240,La Di Da,2008,188-202 King Street,Melbourne (CBD),450,-37.81551353,144.9556244
20191029_bar_row_242,Melbourne Central Lion Hotel,2013,183-265 La Trobe Street,Melbourne (CBD),550,-37.81073331,144.9630189
20191029_bar_row_243,Returned & Services League - Melbourne Sub-branch,2004,91-93 Flinders Lane,Melbourne (CBD),90,-37.81543506,144.9712228
20191029_bar_row_246,Railway Hotel,2013,118-126 Ireland Street,West Melbourne (Residential),241,-37.80605366,144.9421177
20191029_bar_row_247,Nomads Industry Backpackers,2008,196-200 A'Beckett Street,Melbourne (CBD),200,-37.80998494,144.9574447
20191029_bar_row_251,December Entertainment,2011,118-122 Bourke Street,Melbourne (CBD),72,-37.81207418,144.969548
20191029_bar_row_254,Bornga,2016,281-287 Swanston Street,Melbourne (CBD),40,-37.81143223,144.9643593
20191029_bar_row_255,Mui Karaoke,2016,281-287 Swanston Street,Melbourne (CBD),243,-37.81143223,144.9643593
20191029_bar_row_259,Tilt,2006,272 Russell Street,Melbourne (CBD),130,-37.81007187,144.9671371
20191029_bar_row_262,Mack Daddy Soprano,2006,313-315 Flinders Lane,Melbourne (CBD),100,-37.81763918,144.9638507
20191029_bar_row_265,Manchuria,2013,7-9 Waratah Place,Melbourne (CBD),80,-37.81162502,144.9669911
20191029_bar_row_267,New Guernica,2011,318-322 Little Collins Street,Melbourne (CBD),380,-37.81488174,144.9640121
20191029_bar_row_270,The Australian Club,2011,98-110 William Street,Melbourne (CBD),280,-37.81674542,144.9591218
20191029_bar_row_274,Lavita Cafe On William,2011,170-176 William Street,Melbourne (CBD),50,-37.81492637,144.9582309
20191029_bar_row_275,Workshop,2008,413-417 Elizabeth Street,Melbourne (CBD),230,-37.80918797,144.9605226
20191029_bar_row_278,Silk Road on Collins,2011,419-429 Collins Street,Melbourne (CBD),911,-37.81752882,144.9606531
20191029_bar_row_281,Rok's Cafe,2008,497-503 St Kilda Road,Melbourne (Remainder),280,-37.84331737,144.9790762
20191029_bar_row_283,Sorry Grandma,2011,590-592 Little Bourke Street,Melbourne (CBD),700,-37.81533836,144.9546987
20191029_bar_row_287,DANSK Restaurant,2011,428-432 Little Bourke Street,Melbourne (CBD),100,-37.81392392,144.9597229
20191029_bar_row_288,Mrs Parma's,2008,19-25 Little Bourke Street,Melbourne (CBD),350,-37.81074304,144.9719903
20191029_bar_row_293,Loop Project Space & Bar,2011,19-23 Meyers Place,Melbourne (CBD),152,-37.8121518,144.9721078
20191029_bar_row_294,Chaise Lounge,2011,103-105 Queen Street,Melbourne (CBD),140,-37.81614776,144.9608476
20191029_bar_row_298,Insignia on Flinders,2011,502-504 Flinders Street,Melbourne (CBD),100,-37.82005619,144.9576571
20191029_bar_row_300,Cash Box Ktv,2008,22-26 Corrs Lane,Melbourne (CBD),200,-37.8109979,144.9683249
20191029_bar_row_303,The Nixon Hotel Pty Ltd,2008,747-757 Bourke Street,Docklands,300,-37.81925128,144.9479753
20191029_bar_row_304,Little Red Pocket,2013,422-428 Little Collins Street,Melbourne (CBD),200,-37.8159076,144.960326
20191029_bar_row_306,Harbour Town Hotel,2011,23-37 Star Crescent,Docklands,498,-37.81315031,144.9378299
20191029_bar_row_307,Sou Sol,2006,443 Little Collins Street,Melbourne (CBD),200,-37.81638558,144.9600859
20191029_bar_row_308,Mitre Tavern,2006,5-9 Bank Place,Melbourne (CBD),300,-37.81680457,144.9603112
