Dreams Gentleman's Club,2008,1-5 Elizabeth Street,Melbourne (CBD),160,-37.81805666,144.964608
The Order of Melbourne,2008,401-405 Swanston Street,Melbourne (CBD),420,-37.80904283,144.963217
Ding Dong Lounge,2008,18-24 Market Lane,Melbourne (CBD),396,-37.81175137,144.9694031
Collins Quarter,2008,86-88 Collins Street,Melbourne (CBD),373,-37.81393777,144.9705847
Tufclub Hotel,2008,1-3 Flemington Road,North Melbourne,350,-37.80130394,144.9563792
The Drunken Poet,2008,65-67 Peel Street,West Melbourne (Residential),50,-37.80666721,144.955498
The Wine Bar,2004,2 Swanston Street,Melbourne (CBD),355,-37.81784465,144.9699175
Match Bar & Grill,2008,221 Little Lonsdale Street,Melbourne (CBD),360,-37.810658,144.9657034
The Green Room,2004,31-39 Elizabeth Street,Melbourne (CBD),225,-37.81741878,144.9643316
Embassy Bar & Double Bar,2004,2-20 Drewery Place,Melbourne (CBD),303,-37.81130304,144.9639703
Llama Bar,2004,3 Southgate Avenue,Southbank,50,-37.82066923,144.9662623
Saturne,2004,3 Southgate Avenue,Southbank,100,-37.82066923,144.9662623
The Quiet Man Irish Pub,2008,265-271 Racecourse Road,Kensington,400,-37.78860982,144.9323559
Miss Libertine @ Mac's Hotel,2008,34-38 Franklin Street,Melbourne (CBD),355,-37.80752292,144.9616126
Randy Dragon,2011,313-315 Flinders Lane,Melbourne (CBD),100,-37.81763918,144.9638507
Royce Hotel,2008,375-385 St Kilda Road,Melbourne (Remainder),120,-37.83506751,144.9755139
Hairy Canary,2008,196-212 Little Collins Street,Melbourne (CBD),50,-37.81384227,144.9671568
European,2008,161 Spring Street,Melbourne (CBD),703,-37.8109513,144.9724291
The Croft Institute,2008,21-25 Croft Alley,Melbourne (CBD),250,-37.81206249,144.9690881
Cookie,2008,248-258 Swanston Street,Melbourne (CBD),300,-37.81199559,144.9652504
Horse Bazaar,2008,395-397 Little Lonsdale Street,Melbourne (CBD),158,-37.81190077,144.9602499
Club Asuka,2008,59-63 Bourke Street,Melbourne (CBD),150,-37.81212537,144.9715659
Vibe Hotel,2008,419-443 Royal Parade,Parkville,69,-37.78289944,144.958804
INU Bar & Restuarant,2008,156-292 Grattan Street,Parkville,200,-37.79739836,144.9612468
BCM Bar & Balcony,2011,425-427 Docklands Drive,Docklands,350,-37.81517782,144.9390269
Pensione Hotel Melbourne,2008,10-22 Spencer Street,Melbourne (CBD),50,-37.82050677,144.9552421
Jankara Japanese Bar,2008,300 Russell Street,Melbourne (CBD),80,-37.80951668,144.966904
Bisq Cafe,2008,107-109 Flinders Lane,Melbourne (CBD),170,-37.81560645,144.9708344
Rue Bebelons,2008,319-323 Swanston Street,Melbourne (CBD),100,-37.81076317,144.9640475
Sahara Restaurant,2008,301-303 Swanston Street,Melbourne (CBD),140,-37.81107765,144.9641938
Club Odeon,2008,8 Whiteman Street,Southbank,560,-37.82312164,144.9586604
Studio 3,2008,8 Whiteman Street,Southbank,900,-37.82312164,144.9586604
All Nations Bar,2008,566-580 Flinders Street,Melbourne (CBD),98,-37.82072034,144.9553465
The Balcony,2008,422-428 Little Collins Street,Melbourne (CBD),200,-37.8159076,144.960326
The Adelphi Hotel,2008,187 Flinders Lane,Melbourne (CBD),80,-37.81635789,144.9683751
CitiClub On Queen Hotel,2008,111-129 Queen Street,Melbourne (CBD),1505,-37.81581152,144.9606367
Kouzina Restaurant,2008,3 Southgate Avenue,Southbank,200,-37.82066923,144.9662623
Blue Diamond Salon,2008,111-129 Queen Street,Melbourne (CBD),60,-37.81581152,144.9606367
Fluid Oz Bar,2004,442-450 Elizabeth Street,Melbourne (CBD),365,-37.8083077,144.9608588
Bass Lounge,2008,100-116 Bourke Street,Melbourne (CBD),350,-37.81170307,144.9697778
Oaks on Market,2008,54-60 Market Street,Melbourne (CBD),45,-37.81778076,144.9608283
Club F4,2004,318-322 Little Collins Street,Melbourne (CBD),380,-37.81488174,144.9640121
Madisons Restaurant Bar Lounge,2004,457-471 Bourke Street,Melbourne (CBD),280,-37.81547268,144.9601886
RU-CO,2013,121-131 Collins Street,Melbourne (CBD),400,-37.81516811,144.9698467
Deep Dish Bar & Cafe,2004,156-292 Grattan Street,Parkville,400,-37.79739836,144.9612468
Hidden Bar Restaurant,2004,313-315 Flinders Lane,Melbourne (CBD),100,-37.81763918,144.9638507
Decca Bar,2011,93-95 Queen Street,Melbourne (CBD),167,-37.81637876,144.9609695
The Hi -Fi Melbourne,2011,125-133 Swanston Street,Melbourne (CBD),800,-37.81472467,144.9658102
Ra,2013,86-88 Collins Street,Melbourne (CBD),83,-37.81393777,144.9705847
Canary Club,2008,114-120 Russell Street,Melbourne (CBD),150,-37.81350285,144.9689753
Kingpin Melbourne Central,2008,183-265 La Trobe Street,Melbourne (CBD),760,-37.81073331,144.9630189
Hush Bar @ Melbourne Central,2008,183-265 La Trobe Street,Melbourne (CBD),200,-37.81073331,144.9630189
Hoyts Cinemas,2008,183-265 La Trobe Street,Melbourne (CBD),300,-37.81073331,144.9630189
The Pub At Crown,2008,8 Whiteman Street,Southbank,300,-37.82312164,144.9586604
Fidel's Bar & Lounge,2008,8 Whiteman Street,Southbank,100,-37.82312164,144.9586604
The Melbourne Room,2006,391-393 Little Lonsdale Street,Melbourne (CBD),175,-37.81187439,144.9603411
Section 8 Container Bar,2006,27-29 Tattersalls Lane,Melbourne (CBD),100,-37.81176167,144.9653899
Lower House,2006,2 Swanston Street,Melbourne (CBD),355,-37.81784465,144.9699175
E-Fiftyfive,2013,55-57 Elizabeth Street,Melbourne (CBD),88,-37.81697242,144.9641302
